,Kategori,Nama Bahan,Air (gram),Energi (kal),Protein (gram),Lemak (gram),Karbohidrat (gram),Serat (gram),Harga (Rp.)
312,Buah,"Durian, segar",65.0,134,2.5,3.0,28.0,3.5,10000
313,Buah,"Duwet, segar",80.2,80,0.5,0.6,18.2,0.9,8000
314,Buah,"Embacang, segar",72.5,98,1.4,0.2,25.4,1.9,20000
315,Buah,"Encung asam, segar",73.0,122,3.5,4.5,17.5,9.3,18000
316,Buah,"Erbis, segar",80.0,70,0.6,0.0,18.9,7.7,20000
317,Buah,Gandaria masak,80.8,68,0.7,0.1,18.0,2.2,10000
318,Buah,"Gatep, segar",52.7,191,4.5,1.5,39.7,13.4,10000
319,Buah,"Jambu air, segar",87.0,46,0.6,0.2,11.8,2.1,1000
320,Buah,Jambu biji,86.0,49,0.9,0.3,12.2,2.4,500
321,Buah,Jambu bj putih tdk brbj,82.8,61,0.9,0.3,15.4,4.5,6000
322,Buah,"Jambu bol, segar",87.1,49,2.3,0.2,9.6,3.5,8000
323,Buah,"Jambu monyet, segar",82.6,64,0.7,0.6,15.8,1.2,8500
324,Buah,"Jeruk bali, segar",86.3,48,0.6,0.2,12.4,0.8,15000
325,Buah,"Jeruk banjar, segar",84.5,61,0.8,0.2,14.1,5.4,2000
326,Buah,Jeruk garut-keprok,87.3,44,0.8,0.3,10.9,1.6,6500
327,Buah,"Jeruk Kalamansi, segar",90.2,39,0.3,0.3,8.9,2.3,6000
328,Buah,"Jeruk manis, segar",87.2,45,0.9,0.2,11.2,1.4,5000
329,Buah,"Jeruk nipis, segar",88.9,44,0.5,0.2,10.0,0.4,2500
330,Buah,"Jeruk ragi, segar",87.6,49,0.7,0.2,11.1,0.5,12000
331,Buah,"Kawista, segar",71.8,120,3.5,2.5,20.8,4.6,8000
332,Buah,"Kedondong masak, segar",88.0,46,1.0,0.1,10.3,2.6,2500
333,Buah,"Kedondong, segar",87.8,47,0.5,0.2,10.4,2.7,2000
334,Buah,"Kelapa hutan, kering",6.0,623,2.0,52.1,36.5,15.3,6000
335,Buah,"Kelapa muda, daging, segar",83.3,68,1.0,0.9,14.0,0.0,15000
336,Buah,"Kemang, segar",86.5,48,1.0,0.2,11.9,1.7,15000
337,Buah,"Kesemek, segar",78.2,78,0.8,0.4,20.0,0.6,5000
338,Buah,"Kokosan, segar",85.0,86,1.6,0.2,13.0,1.4,1000
339,Buah,"Kranji, segar",20.1,315,2.1,1.4,73.5,3.6,12000
340,Buah,"Langsat, segar",84.1,56,0.9,0.2,14.3,1.4,7000
341,Buah,"Lemon, segar",92.2,34,0.5,0.8,6.2,0.1,5000
342,Buah,"Lontar, segar",93.0,27,0.4,0.2,6.0,1.6,3500
343,Buah,"Mangga, segar",86.6,52,0.7,0.0,12.3,1.6,10000
344,Buah,"Mangga benggala, segar",84.4,63,2.4,0.4,12.4,5.8,4000
345,Buah,"Mangga gedung, segar",87.4,44,0.7,0.2,11.2,1.6,10000
346,Buah,"Mangga golek, segar",82.2,63,0.5,0.2,16.7,2.3,7000
347,Buah,"Mangga harumanis, segar",86.6,46,0.4,0.2,11.9,1.7,6000
348,Buah,"Mangga indramayu, segar",80.2,72,0.8,0.2,18.7,2.5,1500
349,Buah,"Mangga kopek, segar",84.5,56,0.4,0.2,14.6,2.0,7000
350,Buah,"Mangga kwini, segar",78.6,86,0.7,0.5,19.8,6.5,4000
351,Buah,"Mangga manalagi, segar",66.5,133,1.0,0.1,32.1,11.8,6000
352,Buah,"Mangga muda, segar",83.7,59,0.5,0.4,15.1,0.0,5000
353,Buah,"Manggis, segar",83.0,63,0.6,0.6,15.6,1.5,4500
354,Buah,"Markisa, segar",64.7,144,3.5,1.2,29.8,11.4,5500
355,Buah,"Matoa, segar",76.5,90,1.2,0.1,21.1,0.5,10000
356,Buah,"Melon, segar",90.8,37,0.6,0.4,7.8,1.0,4000
357,Buah,"Menteng, segar",79.0,65,1.7,0.3,16.1,0.0,15000
358,Buah,"Nanas palembang, segar",85.5,58,0.7,0.2,13.3,1.6,18000
359,Buah,"Nanas, segar",88.9,40,0.6,0.3,9.9,0.6,10000
360,Buah,"Nangka masak pohon, segar",70.0,106,1.2,0.3,27.6,3.7,5000
361,Buah,"Pala, daging, segar",88.1,42,0.3,0.2,10.9,0.5,12000
362,Buah,"Pepaya, segar",86.7,46,0.5,12.0,12.2,1.6,2500
363,Buah,"Pisang ambon, segar",72.9,108,1.0,0.8,24.3,1.9,5000
364,Buah,"Pisang angleng (pisang ampyang), segar",80.3,68,1.3,0.2,17.2,0.8,4000
365,Buah,"Pisang ayam, segar",71.2,120,1.1,0.2,26.8,4.1,2500
366,Buah,"Pisang gapi, segar",66.3,131,1.6,0.1,31.1,11.7,5000
367,Buah,"Pisang goroho, segar",69.4,119,1.5,0.2,27.9,4.6,15000
368,Buah,"Pisang hijau, segar",68.9,121,1.0,0.1,28.9,0.4,900
369,Buah,"Pisang kayu, segar",74.4,100,1.4,0.5,23.6,2.6,4500
370,Buah,"Pisang kepok, segar",71.9,109,0.8,0.5,26.3,5.7,2000
371,Buah,"Pisang ketip, segar",63.4,145,1.1,0.3,34.5,6.6,5000
372,Buah,"Pisang kidang, segar",75.4,96,1.0,0.2,22.5,0.6,2000
373,Buah,"Pisang lampung, segar",72.1,99,1.3,0.2,25.6,4.3,5500
374,Buah,"Pisang mas bali ampenan, segar",76.8,92,1.4,0.2,21.0,3.7,2500
375,Buah,"Pisang mas bali kopang, segar",64.2,127,1.4,0.2,31.8,3.7,3500
376,Buah,"Pisang mas, segar",64.2,127,1.4,0.2,33.6,1.4,2500
377,Buah,"Pisang raja sereh, segar",69.3,108,1.3,0.3,28.2,0.7,3000
378,Buah,"Pisang raja, segar",65.8,120,1.2,0.2,31.8,5.3,50000
379,Buah,"Pisang rotan, segar",76.1,98,1.3,1.2,20.5,1.0,2200
380,Buah,"Pisang talas, segar",71.0,113,1.2,0.2,26.7,4.4,1500
381,Buah,Pisang tujuh bulan,75.9,94,0.6,0.2,22.5,3.7,1500
382,Buah,"Pisang ua, segar",67.8,128,0.8,0.5,30.2,8.1,3500
383,Buah,"Pisang uli, segar",61.8,134,1.1,0.5,35.5,1.4,15000
384,Buah,"Purut, segar",81.1,76,4.1,1.1,15.2,1.7,20000
385,Buah,"Rambutan binjai, segar",81.0,76,0.5,0.2,18.0,3.8,5000
386,Buah,"Rambutan, segar",80.5,69,0.9,0.1,18.1,0.8,7000
387,Buah,"Salak bali, segar",85.1,57,0.5,0.1,13.6,1.3,5500
388,Buah,"Salak medan, segar",78.1,55,0.4,0.2,12.8,3.2,5000
389,Buah,"Salak pondoh, segar",77.9,87,0.8,0.4,20.1,0.0,5000
390,Buah,"Salak, segar",78.0,77,0.4,0.0,20.9,0.0,15000
391,Buah,"Sawo duren, segar",87.3,64,1.0,3.1,8.0,0.8,4000
392,Buah,"Sawo kecik, segar",73.8,111,0.9,2.3,21.6,1.0,4000
393,Buah,"Sawo Manila, segar",75.5,92,0.5,1.1,22.4,9.5,500
394,Buah,"Semangka, segar",92.1,28,0.5,0.2,6.9,0.4,2500
395,Buah,"Sirsak, segar",81.7,65,1.0,0.3,16.3,3.2,6000
396,Buah,"Sowa, segar",87.7,48,1.6,0.6,9.1,45.0,2000
397,Buah,"Srikaya, segar",83.4,63,1.1,0.5,13.9,2.1,18000
398,Buah,"Sukun muda, segar",69.4,119,1.4,0.2,28.1,1.4,2500
399,Buah,"Sukun tua, segar",67.8,126,1.6,0.2,24.5,1.5,5000
400,Buah,"Vigus, segar",88.0,44,2.4,0.1,8.3,0.0,2000
401,Buah,"Wani, segar",81.2,74,0.8,0.3,17.1,3.1,10000
